method,defense,final_old_acc,delta_final_old_acc,final_old_mf1,delta_final_old_mf1,final_seen_acc,delta_final_seen_acc,final_seen_mf1,delta_final_seen_mf1,bwt_acc,delta_bwt_acc,bwt_mf1,delta_bwt_mf1,t2t_valid_scores,t2t_detected_pairs,t2t_rejected_updates,robust_mean_protected_fraction,robust_mean_lambda,robust_mean_defense_loss
finetune,none,0.6064670658682635,0.0,0.5901686443725713,0.0,0.5489440311382925,0.0,0.4712430172438497,0.0,-0.09408241322200352,0.0,-0.09276098911813299,0.0,,,,,,
finetune,robust_feature,0.6063473053892215,-0.00011976047904194154,0.5913889767491823,0.0012203323766110108,0.5471358605495189,-0.0018081705887735833,0.4709762139955497,-0.00026680324830002933,-0.09440564413717062,-0.00032323091516710256,-0.09298543281923999,-0.00022444370110699663,,,,0.10985331632653061,3.654141649907949,2.3861093438881657e-06
ewc,none,0.6901796407185629,0.0,0.6613776327509607,0.0,0.6284776709367609,0.0,0.5320934117996583,0.0,-0.023967382174113684,0.0,-0.030694754149064748,0.0,,,,,,
ewc,t2t,0.6887425149700599,-0.0014371257485029654,0.6628041051324751,0.0014264723815143876,0.6241002161776353,-0.004377454759125543,0.5292541731424311,-0.0028392386572272388,-0.029524513457717543,-0.005557131283603859,-0.037379067453690615,-0.006684313304625867,41,6,12,,,
ewc,robust_feature,0.6886826347305389,-0.0014970059880239361,0.6621926580000645,0.0008150252491038179,0.6251243292895114,-0.0033533416472494304,0.533650152376591,0.0015567405769326692,-0.027021874293927474,-0.0030544921198137898,-0.03257447695120736,-0.001879722802142613,,,,0.109375,3.3980408894772434,1.814285837573774e-06
online_ewc,none,0.6950898203592815,0.0,0.6669250288967418,0.0,0.6366556824477952,0.0,0.5390771775474401,0.0,-0.010313101358627988,0.0,-0.014628374841874464,0.0,,,,,,
online_ewc,t2t,0.7001197604790419,0.005029940119760434,0.6797495792604968,0.012824550363755072,0.6373599188164161,0.0007042363686208253,0.5453625046331757,0.0062853270857355925,-0.012205950767941063,-0.001892849409313075,-0.015029059975321276,-0.0004006851334468122,41,6,12,,,
online_ewc,robust_feature,0.6967065868263473,0.0016167664670658777,0.6723268159739959,0.005401787077254139,0.6371820940328745,0.0005264115850792672,0.5425885085802225,0.003511331032782339,-0.012308736892817985,-0.001995635534189997,-0.017281247596612495,-0.0026528727547380313,,,,0.1096938775510204,3.4577319646368223,1.3614384504352436e-06
si,none,0.7119760479041917,0.0,0.6927465243558752,0.0,0.6484642388044258,0.0,0.5556453306876765,0.0,-0.0017039616006677767,0.0,-0.001992583285499291,0.0,,,,,,
si,t2t,0.7101197604790419,-0.0018562874251497608,0.6906647008518005,-0.002081823504074709,0.6453118939037695,-0.003152344900656301,0.5535592846632822,-0.002086046024394328,-0.0014151027054938104,0.00028885889517396633,-0.00039769847910569266,0.0015948848063935981,42,5,10,,,
si,robust_feature,0.7117964071856288,-0.0001796407185629123,0.6916317550010684,-0.0011147693548068105,0.6469522984250325,-0.001511940379393284,0.5535358578835181,-0.0021094728041584077,-7.424014463567115e-05,0.0016297214560321055,0.0002178670799919691,0.00221045036549126,,,,0.11415816326530612,3.7821492260816147,9.528600787723003e-09
mas,none,0.7068862275449102,0.0,0.6848498032780446,0.0,0.6431573790218978,0.0,0.5524413695029102,0.0,-0.0033788428383978,0.0,-0.0035959095127239315,0.0,,,,,,
mas,t2t,0.7065269461077844,-0.0003592814371257136,0.6858050612657378,0.0009552579876932477,0.6447342472282481,0.0015768682063502792,0.5533275966093127,0.0008862271064025151,-0.004300577002062243,-0.0009217341636644427,-0.0049361810578518635,-0.001340271545127932,44,3,6,,,
mas,robust_feature,0.7073652694610778,0.0004790419161676551,0.6845265456266466,-0.0003232576513979568,0.6432346785522794,7.729953038160264e-05,0.5518774089161927,-0.0005639605867174824,-0.0002245094464127285,0.0031543333919850716,-0.0002015401136597268,0.003394369399064205,,,,0.11240433673469388,3.8363484922720463,7.185250476520733e-09
